no,item_id,block,block_kr,construct,kind,scale,n_opt,n_cells,reverse,tier,context,question,options,keyed,reasoning_t2(C),omr_capture,KC_formal(주석),exp_difficulty(주석),note,status
1,A-IN1,A,학습 태도·흥미,interest,ladder,리커트 1~5,5,1,,1,,화학이 특별히 싫지는 않다.,1~5 리커트,—,,OMR: 1칸,,,낮은 문턱·정상화(누구나 동의 가능 → 바닥 단계),active
2,A-IN2,A,학습 태도·흥미,interest,ladder,리커트 1~5,5,1,,2,,수업에서 본 화학 현상이 시간이 지나 문득 다시 떠오른 적이 있다.,1~5 리커트,—,,OMR: 1칸,,,수동적 잔상 — 2단,active
3,A-IN3,A,학습 태도·흥미,interest,ladder,리커트 1~5,5,1,,3,,시키지 않았는데도 화학과 관련된 영상·글을 찾아본 적이 있다.,1~5 리커트,—,,OMR: 1칸,,,자발적 탐색 — 3단,active
4,A-IN4,A,학습 태도·흥미,interest,ladder,리커트 1~5,5,1,,4,,하고 싶은 다른 일을 미루면서까지 화학을 더 파고든 적이 있다.,1~5 리커트,—,,OMR: 1칸,,,"비용 내장(우선순위 희생) → 정점, 가벼운 과대응답 차단 — 4단",active
5,A-IN-PH,A,학습 태도·흥미,interest,context,리커트 1~5,5,1,,,phenom,물질이 녹고 타고 색이 변하는 현상을 보면 더 들여다보고 싶다.,1~5 리커트,—,,OMR: 1칸,,,현상 맥락 흥미,active
6,A-IN-SY,A,학습 태도·흥미,interest,context,리커트 1~5,5,1,예,,symbol,화학 기호나 식을 다룰 때는 흥미가 식는 편이다.,1~5 리커트,—,,OMR: 1칸,,,기호 맥락(역 → 동의=기호 흥미 낮음),active
7,A-IN-QT,A,학습 태도·흥미,interest,context,리커트 1~5,5,1,예,,quant,숫자·비율을 계산하는 화학 문제는 풀어볼 마음이 잘 안 생긴다.,1~5 리커트,—,,OMR: 1칸,,,정량 맥락(역),active
8,A-IN-LB,A,학습 태도·흥미,interest,context,리커트 1~5,5,1,,,lab,직접 실험하거나 만들어 보는 활동은 해보고 싶다.,1~5 리커트,—,,OMR: 1칸,,,실험 맥락 흥미,active
9,A-EF1,A,학습 태도·흥미,efficacy,ladder,리커트 1~5,5,1,,1,,쉬운 화학 문제는 혼자서 풀 수 있다.,1~5 리커트,—,,OMR: 1칸,,,기본 수행 — 1단,active
10,A-EF2,A,학습 태도·흥미,efficacy,ladder,리커트 1~5,5,1,,2,,한 번에 이해 못 한 개념도 다시 보면 결국 내 것으로 만든다.,1~5 리커트,—,,OMR: 1칸,,,회복형 효능 — 2단,active
11,A-EF3,A,학습 태도·흥미,efficacy,ladder,리커트 1~5,5,1,,3,,처음 보는 유형도 풀이를 보기 전에 일단 혼자 시작해 본다.,1~5 리커트,—,,OMR: 1칸,,,행동 위장(자기칭찬 아님) — 3단,active
12,A-EF4,A,학습 태도·흥미,efficacy,ladder,리커트 1~5,5,1,,4,,어려운 화학 문제를 며칠에 걸쳐 붙잡아 끝내 해결한 적이 있다.,1~5 리커트,—,,OMR: 1칸,,,지속·비용(고문턱) — 4단,active
13,A-AX-PH,A,학습 태도·흥미,anxiety,context,리커트 1~5,5,1,예,,phenom,현상이나 실험을 관찰할 때는 마음이 비교적 편하다.,1~5 리커트,—,,OMR: 1칸,,,현상 맥락(역 → 동의=현상 불안 낮음),active
14,A-AX-SY,A,학습 태도·흥미,anxiety,context,리커트 1~5,5,1,,,symbol,복잡한 기호나 식이 나오면 머릿속이 복잡해진다.,1~5 리커트,—,,OMR: 1칸,,,기호 맥락 불안(핵심 분리 지점),active
15,A-AX-QT,A,학습 태도·흥미,anxiety,context,리커트 1~5,5,1,,,quant,비율·농도 같은 계산이 섞이면 평소보다 긴장된다.,1~5 리커트,—,,OMR: 1칸,,,정량 맥락 불안,active
16,A-AX-LB,A,학습 태도·흥미,anxiety,context,리커트 1~5,5,1,예,,lab,직접 실험할 때는 오히려 긴장이 풀리는 편이다.,1~5 리커트,—,,OMR: 1칸,,,실험 맥락(역),active
17,A-AX-GN,A,학습 태도·흥미,anxiety,general,리커트 1~5,5,1,,,,화학 시험 전엔 남들처럼 나도 어느 정도 긴장한다.,1~5 리커트,—,,OMR: 1칸,,,정상화 → 불안 과소보고 방지(일반 불안 기저선),active
18,A-VA1,A,학습 태도·흥미,value,relative,리커트 1~5,5,1,,,,"과학 중에서 굳이 고른다면, 생물·지구과학보다 화학 쪽이 내 관심에 더 가깝다.",1~5 리커트,—,,OMR: 1칸,,,동등바람직 상대비교 → 분야 동일시,active
19,A-VA2,A,학습 태도·흥미,value,internalize,리커트 1~5,5,1,예,,,"화학이 쓸모 있다는 말은 들어도, 나와 직접 상관있다고 느끼진 않는다.",1~5 리커트,—,,OMR: 1칸,,,정상화·역(동의=낮은 내면화) → 외적 가치/내적 가치 분리,active
20,A-VA3,A,학습 태도·흥미,value,internalize,리커트 1~5,5,1,,,,내가 앞으로 하고 싶은 일에 화학이 들어올 자리가 있다고 생각한다.,1~5 리커트,—,,OMR: 1칸,,,미래 정체성 결합(진로 키워드 직접 노출 줄임),active
21,B21,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,"어떤 실험 결과를 보면, 나는…",1) 왜 그런 결과가 나왔는지 원리부터 따져 본다 [극S] | 2) 결과로 나타난 변화 자체를 자세히 들여다본다 [극G],—,,OMR: 1칸,,,,active
22,B22,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,"물질이 변하는 걸 관찰할 때, 나는…",1) 겉으로 드러나는 변화에 먼저 주목한다 [극G] | 2) 눈에 안 보이는 알갱이의 움직임을 떠올린다 [극S],—,,OMR: 1칸,,,,active
23,B23,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"답이 떠오를 때, 나는…",1) 근거가 맞는지 차근차근 확인한 뒤 답한다 [극B] | 2) 감으로 먼저 답하고 나중에 점검한다 [극J],—,,OMR: 1칸,,,,active
24,B24,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"여러 정보를 정리할 때, 나는…",1) 핵심을 직관으로 빠르게 추린다 [극J] | 2) 하나씩 따져 논리적으로 묶는다 [극B],—,,OMR: 1칸,,,,active
25,B25,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,수업에서 더 끌리는 활동은…,1) 한 번도 안 해 본 새로운 실험 [극T] | 2) 배운 내용을 깔끔히 정리하는 활동 [극R],—,,OMR: 1칸,,,,active
26,B26,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,"방학에 공부한다면, 나는…",1) 지금까지 배운 걸 차곡차곡 복습한다 [극R] | 2) 교과서 밖 새로운 주제를 탐구한다 [극T],—,,OMR: 1칸,,,,active
27,B27,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,"문제집을 고를 때, 나는…",1) 조금 어렵더라도 도전적인 문제집을 고른다 [극D] | 2) 확실히 익힐 수 있는 적정 난도를 고른다 [극M],—,,OMR: 1칸,,,,active
28,B28,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,"새 단원을 공부할 때, 나는…",1) 기본을 반복해 탄탄히 다진 뒤 넘어간다 [극M] | 2) 어려운 부분에 먼저 부딪쳐 본다 [극D],—,,OMR: 1칸,,,,active
29,B1,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,"새로운 현상을 보면, 나는…",1) 눈에 보이는 결과와 변화부터 살핀다 [극G] | 2) 속에서 무슨 일이 일어나는지 먼저 상상한다 [극S],—,,OMR: 1칸,,,,active
30,B2,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,실험에서 더 흥미로운 것은…,1) 그 변화가 '왜' 일어나는지 속 원리 [극S] | 2) 색·소리·온도처럼 겉으로 드러나는 변화 [극G],—,,OMR: 1칸,,,,active
31,B3,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,"어떤 물질을 설명하라면, 나는…",1) 어떻게 보이고 어떤 성질인지로 설명한다 [극G] | 2) 무엇으로 이루어졌는지로 설명한다 [극S],—,,OMR: 1칸,,,,active
32,B4,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,"개념을 기억할 때, 나는…",1) 머릿속 그림이나 모형으로 기억한다 [극S] | 2) 실제로 본 장면이나 사례로 기억한다 [극G],—,,OMR: 1칸,,,,active
